Country Name,Country Code,Series Name,Series Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
European Union,EUU,Internet users (per 100 people),IT.NET.USER.P2,35.139519795329,41.8228491455019,46.8319646601983,50.9720858950831,54.546314424477,60.2952780129834,64.1891368926677,67.2146426996618,70.6308959645273,71.5580662923989,73.6993645800207,75.5357802492714,78.1021476800944,79.6258146075023,..
European Union,EUU,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,15276418102047.7,15477014305355.1,15873235229743.9,16205563855132.9,16754141422962.3,17276403101775.6,17363151052194.1,16600789791352.9,16946058883844.3,17244507452566.1,17162226695838.9,17194289053651,17427755815620.9,17767380879592.7,..
European Union,EUU,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,568911.708,561676.101,551675.658,544631.481,538722.909,532665.669,526660.84,524429.636,524765.64,518455.613521889,512009.387343778,..,..,..,..
Arab World,ARB,Internet users (per 100 people),IT.NET.USER.P2,2.69306101334257,3.64588078277356,7.00681246096063,8.39314172532196,11.6546479149058,14.2059022369738,18.5935311754275,21.5453538966849,24.5357799041128,26.5499874960793,29.954302058642,32.3498958909775,36.007129851435,39.5261540659397,..
Arab World,ARB,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,1353674267141.27,1410983637863.28,1548396875130.44,1643639422413.74,1763823829113.09,1863481356326.67,1980983302945.67,2011001139577.91,2103824906396.06,2173896465634.17,2318266914690.42,2385579629422.56,2436659330416.81,2509068276527.7,..
Arab World,ARB,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,346077.394,360946.249,372186.321,390212.534,416619.453,458840.654,448371.814,450868.358,460215.961,465511.696975,470807.42295,..,..,..,..
North America,NAC,Internet users (per 100 people),IT.NET.USER.P2,59.0571968963234,61.9397408745317,64.8742472203646,68.3278747850678,69.2704538253401,74.8236050881279,74.2665029928779,71.9166465147234,72.5404836415795,71.0425495923103,75.52358339991,72.8302881787651,74.4048152933966,75.9372515632806,..
North America,NAC,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,14479243520643.4,14871535663638.2,15424427014016.2,15938190350847.1,16362705204222.5,16658236596472.2,16630398218671.3,16165854139519.1,16583522548731.1,16873658969020.5,17240578788101.6,17509505314584.1,17935381038511.9,18346579762375.2,..
North America,NAC,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,657823.2319,662416.5822,658640.9943,646943.3213,648751.7162,650999.9614,655677.4193,632553.879,629268.3529,620667.141101014,606687.079302027,..,..,..,..
South Asia (IDA & IBRD),TSA,Internet users (per 100 people),IT.NET.USER.P2,1.46254523702335,1.8431644127735,2.18437603559218,2.54668832785865,2.98334830663047,3.97340011784188,4.41682340804885,5.1571126465903,7.20654564155376,9.39309278703748,11.5120098020054,13.7466237906087,19.2677772316517,23.6279411151014,..
South Asia (IDA & IBRD),TSA,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,1164237872617.7,1248745417670.25,1343079053273.27,1461241489062.34,1588120638658.04,1716563795953.54,1783226531901.76,1919371437402.81,2093718885212,2226077381383.37,2351842474525.48,2499225073633.94,2670482829680.94,2862660453430.12,..
South Asia (IDA & IBRD),TSA,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,822828.053,840893.1064,846436.0547,861930.2647,872131.7434,887514.9225,901733.3729,922358.1724,930214.4625,940759.870725,951304.97895,..,..,..,..
South Asia,SAS,Internet users (per 100 people),IT.NET.USER.P2,1.46254523702335,1.8431644127735,2.18437603559218,2.54668832785865,2.98334830663047,3.97340011784188,4.41682340804885,5.1571126465903,7.20654564155376,9.39309278703748,11.5120098020054,13.7466237906087,19.2677772316517,23.6279411151014,..
South Asia,SAS,GDP at market prices (constant 2010 US$),NY.GDP.MKTP.KD,1164237872617.7,1248745417670.25,1343079053273.27,1461241489062.34,1588120638658.04,1716563795953.54,1783226531901.76,1919371437402.81,2093718885212,2226077381383.37,2351842474525.48,2499225073633.94,2670482829680.94,2862660453430.12,..
South Asia,SAS,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,822828.053,840893.1064,846436.0547,861930.2647,872131.7434,887514.9225,901733.3729,922358.1724,930214.4625,940759.870725,951304.97895,..,..,..,..
Sub-Saharan Africa,SSF,Internet users (per 100 people),IT.NET.USER.P2,0.82910863726708,1.1092443762221,1.50604159738049,2.0444694147473,2.92582875460639,3.67015899350846,5.61674071873974,6.92201542097193,9.77549739794117,12.1087290250733,14.6128805501624,17.1216113037161,19.575765125674,22.3880597098621,..
